epoch,accuracy,loss,val_accuracy,val_loss,val_macro_f1
0,0.5594713687896729,0.9993723034858704,0.8571428656578064,0.5456308126449585,0.844342037890425
1,0.8017621040344238,0.47437337040901184,0.9591836929321289,0.3526109457015991,0.9636018630326031
2,0.8942731022834778,0.2733617126941681,0.9591836929321289,0.2954677939414978,0.9636018630326031
3,0.9383260011672974,0.1879691630601883,0.9591836929321289,0.22366461157798767,0.9636018630326031
4,0.9383260011672974,0.1727498322725296,0.9591836929321289,0.23552170395851135,0.9636018630326031
5,0.9735682606697083,0.09152502566576004,0.9591836929321289,0.2241354137659073,0.9636018630326031
6,0.9603524208068848,0.11189392954111099,0.9591836929321289,0.1095590591430664,0.9636018630326031
7,0.9559471607208252,0.0980265885591507,0.9387755393981934,0.2787282466888428,0.9398789193096594
8,0.9603524208068848,0.09297876805067062,0.9591836929321289,0.1413446068763733,0.9636018630326031
9,0.9823788404464722,0.050326112657785416,0.9591836929321289,0.04908803850412369,0.9636018630326031
